what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86_64",1359042861810
ws,sysinfo,,,"gtk",1359042861810
locale,sysinfo,,,"en_US",1359042861810
processors,sysinfo,,,"4",1359042861810
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1359042861810
java.runtime.version,sysinfo,,,"1.7.0_07-b10",1359042861810
java.specification.name,sysinfo,,,"Java Platform API Specification",1359042861810
java.specification.vendor,sysinfo,,,"Oracle Corporation",1359042861810
java.specification.version,sysinfo,,,"1.7",1359042861810
java.vendor,sysinfo,,,"Oracle Corporation",1359042861810
java.version,sysinfo,,,"1.7.0_07",1359042861810
java.vm.info,sysinfo,,,"mixed mode",1359042861810
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1359042861810
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1359042861810
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1359042861810
java.vm.specification.version,sysinfo,,,"1.7",1359042861810
java.vm.vendor,sysinfo,,,"Oracle Corporation",1359042861810
java.vm.version,sysinfo,,,"23.3-b01",1359042861810
started,bundle,CodeWalker,1.0.0.qualifier,"CodeWalker",1359042868368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359042872544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359042875920
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359042877200
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359042887636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359042888772
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359042889793
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1359042890227
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1359042890231
stopped,bundle,CodeWalker,1.0.0.qualifier,"CodeWalker",1359042890381
stopped,bundle,ca.mcgill.cs.swevo.ppa.ui,1.2.1.201106050716,"ca.mcgill.cs.swevo.ppa.ui",1359042890382
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1359042890383
stopped,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1359042890383
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1359042890384
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20111213-1754,"org.eclipse.pde.ds.ui",1359042890386
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110928-1516,"org.eclipse.pde.runtime",1359042890387
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1359042890388
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110928-1516,"org.eclipse.pde.ui.templates",1359042890389
stopped,bundle,org.eclipse.rap.ui.launch,1.4.2.20120213-1325,"org.eclipse.rap.ui.launch",1359042890389
stopped,bundle,org.eclipse.rap.ui.templates,1.4.2.20120213-1325,"org.eclipse.rap.ui.templates",1359042890390
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1359042890390
stopped,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1359042890391
stopped,bundle,org.eclipse.ant.launching,1.0.101.v20120110-1739,"org.eclipse.ant.launching",1359042890391
