what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359125255559
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359125267858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359125316471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359125316475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359125316484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359125316487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359125316496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359125341787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359125460946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359125461082
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359125464580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359125540154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359125542964
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359125544417
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1359125544742
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1359125544746
stopped,bundle,CodeWalker,1.0.0.qualifier,"CodeWalker",1359125544886
stopped,bundle,ca.mcgill.cs.swevo.ppa.ui,1.2.1.201106050716,"ca.mcgill.cs.swevo.ppa.ui",1359125544887
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1359125544887
stopped,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1359125544888
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1359125544888
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20111213-1754,"org.eclipse.pde.ds.ui",1359125544889
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110928-1516,"org.eclipse.pde.runtime",1359125544890
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1359125544891
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110928-1516,"org.eclipse.pde.ui.templates",1359125544891
stopped,bundle,org.eclipse.rap.ui.launch,1.4.2.20120213-1325,"org.eclipse.rap.ui.launch",1359125544892
stopped,bundle,org.eclipse.rap.ui.templates,1.4.2.20120213-1325,"org.eclipse.rap.ui.templates",1359125544892
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1359125544892
stopped,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1359125544893
stopped,bundle,org.eclipse.ant.launching,1.0.101.v20120110-1739,"org.eclipse.ant.launching",1359125544893
stopped,bundle,org.eclipse.egit.mylyn.ui,1.3.0.201202151440-r,"org.eclipse.egit.mylyn.ui",1359125544894
stopped,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1359125544894
stopped,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1359125544894
